"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"364","Besluit tot heffen van bouwgrondbelasting, Gemeentewet (in onderzoek)","2020-01-01",,"Aantekening PB"
"365","Gemeentewet: Aanwijzing gemeentelijk monument (voorbescherming, aanwijzing, afschrift)","2020-01-01","2023-07-01","Aantekening PB"
"366","Gemeentewet: Aanwijzing gemeentelijk monument (voorbescherming, aanwijzing, afschrift) (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"367","Gemeentewet: Sluiting woning, lokaal of erf","2020-01-01",,"Aantekening PB"
"368","Gemeentewet: Sluiting woning, lokaal of erf (in onderzoek)","2020-01-01",,"Aantekening PB"
"369","Gemeentewet: Bekostigingsbesluit baatbelasting","2020-01-01",,"Aantekening PB"
"370","Gemeentewet: Bekostigingsbesluit baatbelasting (in onderzoek)","2020-01-01",,"Aantekening PB"
"371","Gemeentewet: Verordening baatbelasting","2020-01-01",,"Aantekening PB"
"372","Gemeentewet: Verordening baatbelasting (in onderzoek)","2020-01-01",,"Aantekening PB"
"373","Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet 2014","2020-01-01",,"Aantekening PB"
"374","Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet 2014 (in onderzoek)","2020-01-01",,"Aantekening PB"
"375","Huisvestingswet 2014: Vaststelling huisvestingsverordening inzake vergunningenstelsel splitsing ","2020-01-01",,"Aantekening PB"
"376","Huisvestingswet 2014: Vaststelling huisvestingsverordening inzake vergunningenstelsel splitsing  (in onderzoek)","2020-01-01",,"Aantekening PB"
"377","Ontgrondingenwet: Gedoogplicht","2020-01-01","2023-07-01","Aantekening PB"
"378","Ontgrondingenwet: Gedoogplicht (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"379","Opiumwet: Sluiting object","2020-01-01",,"Aantekening PB"
"380","Opiumwet: Sluiting object (in onderzoek)","2020-01-01",,"Aantekening PB"
"381","Sluiting object, Opiumwet","2020-01-01",,"Aantekening PB"
"382","Sluiting object, Opiumwet (in onderzoek)","2020-01-01",,"Aantekening PB"
