"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"179";"Handhavingsbesluit Wabo";"2010-07-01";;"Aantekening PB"
"180";"Handhavingsbesluit Wabo (zie tekening)";"2010-07-01";;"Aantekening PB"
"181";"Handhavingsbesluit Wabo (in onderzoek)";"2010-07-01";;"Aantekening PB"
"182";"Besluit inzake onteigening; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"183";"Raadsbesluit tot onteigening gedeeltelijk; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"184";"Vorderingsbesluit Wabo";"2010-07-01";;"Aantekening PB"
"185";"Vorderingsbesluit Wabo (zie tekening)";"2010-07-01";;"Aantekening PB"
"186";"Vorderingsbesluit Wabo (in onderzoek)";"2010-07-01";;"Aantekening PB"
"187";"Gedoogplicht op basis van Grondwaterwet";"2000-01-01";;"Aantekening PB"
"188";"Gedoogplicht op basis van Grondwaterwet (zie tekening)";"2000-01-01";;"Aantekening PB"
"189";"Gedoogplicht op basis van Grondwaterwet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"190";"Provinciaal monument; inl. bij Provincie";"2000-01-01";"2010-01-01";"Aantekening PB"
"191";"Provinciaal monument gedeeltelijk; inlichtingen bij de Provincie";"2000-01-01";"2010-01-01";"Aantekening PB"
"192";"Plicht tot onderhoud of verbodsbepaling krachtens waterschapskeur";"2000-01-01";"2015-01-07";"Aantekening PB"
"193";"Vergunning nodig voor splitsing in app.rechten; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"194";"Voorkeursrecht gemeenten";"2000-01-01";"2010-01-01";"Aantekening PB"
"195";"Voorkeursrecht gemeenten gedeeltelijk";"2000-01-01";"2010-01-01";"Aantekening PB"
"196";"Besluit op basis van Wet agrarisch grondverkeer";"2000-01-01";;"Aantekening PB"
"197";"Besluit op basis van Wet agrarisch grondverkeer (zie tekening)";"2000-01-01";;"Aantekening PB"
"198";"Besluit op basis van Wet agrarisch grondverkeer (in onderzoek)";"2000-01-01";;"Aantekening PB"
"199";"Inzake dit perceel bestaat een besluit als bedoeld in art.55 Wet Bodembescherming";"2000-01-01";"2010-01-01";"Aantekening PB"
"200";"Inzake een gedeelte van dit perceel bestaat een besluit als bedoeld in art.55 Wet Bodembescherming";"2000-01-01";"2010-01-01";"Aantekening PB"
"201";"Besluit of bevel op basis van waterstaatswet 1900";"2000-01-01";;"Aantekening PB"
"202";"Besluit of bevel op basis van waterstaatswet 1900 (zie tekening)";"2000-01-01";;"Aantekening PB"
"203";"Besluit of bevel op basis van waterstaatswet 1900 (in onderzoek)";"2000-01-01";;"Aantekening PB"
"204";"Bevel of gedoogplicht, Waterwet";"2009-12-22";;"Aantekening PB"
"205";"Bevel of gedoogplicht, Waterwet (zie tekening)";"2009-12-22";;"Aantekening PB"
"206";"Bevel of gedoogplicht, Waterwet (in onderzoek)";"2009-12-22";;"Aantekening PB"
"207";"Besluit op basis van woningwet";"2000-01-01";;"Aantekening PB"
"208";"Besluit op basis van woningwet (zie tekening)";"2000-01-01";;"Aantekening PB"
"209";"Besluit op basis van woningwet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"210";"Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet";"2010-11-01";;"Aantekening PB"
"211";"Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"212";"Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"213";"Besluit tot heffen van bouwgrondbelasting, Gemeentewet";"2010-11-01";;"Aantekening PB"
"214";"Besluit tot heffen van bouwgrondbelasting, Gemeentewet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"215";"Besluit tot heffen van bouwgrondbelasting, Gemeentewet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"216";"Besluit tot heffen van baatbelasting, Gemeentewet";"2010-11-01";;"Aantekening PB"
"217";"Besluit tot heffen van baatbelasting, Gemeentewet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"218";"Besluit tot heffen van baatbelasting, Gemeentewet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"219";"Besluit of bevel, Waterstaatswet 1900";"2010-11-01";;"Aantekening PB"
"220";"Besluit of bevel, Waterstaatswet 1900 (Zie tekening)";"2010-11-01";;"Aantekening PB"
"221";"Besluit of bevel, Waterstaatswet 1900 (in onderzoek)";"2010-11-01";;"Aantekening PB"
"222";"Sluiting object, Opiumwet";"2010-11-01";;"Aantekening PB"
"223";"Sluiting object, Opiumwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"224";"Sluiting object, Opiumwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"225";"Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet";"2010-11-01";;"Aantekening PB"
"226";"Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"227";"Huisvestingsverordening, splitsingsvergunningstelsel, Huisvestingswet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"228";"Vordering tot woonruimte, Huisvestingswet";"2010-11-01";;"Aantekening PB"
"229";"Vordering tot woonruimte, Huisvestingswet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"230";"Vordering tot woonruimte, Huisvestingswet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"231";"Melding, bevel, beschikking of vordering Wet bodembescherming";"2010-11-01";;"Aantekening PB"
"232";"Melding, bevel, beschikking of vordering Wet bodembescherming (Zie tekening)";"2010-11-01";;"Aantekening PB"
"233";"Melding, bevel, beschikking of vordering Wet bodembescherming (in onderzoek)";"2010-11-01";;"Aantekening PB"
"234";"Exploitatieplan, Wet ruimtelijke ordening";"2010-11-01";;"Aantekening PB"
"235";"Exploitatieplan, Wet ruimtelijke ordening (Zie tekening)";"2010-11-01";;"Aantekening PB"
"236";"Exploitatieplan, Wet ruimtelijke ordening (in onderzoek)";"2010-11-01";;"Aantekening PB"
"237";"Aanwijzing van gronden, Wet voorkeursrecht gemeenten";"2010-11-01";;"Aantekening PB"
"238";"Aanwijzing van gronden, Wet voorkeursrecht gemeenten (Zie tekening)";"2010-11-01";;"Aantekening PB"
"239";"Aanwijzing van gronden, Wet voorkeursrecht gemeenten (in onderzoek)";"2010-11-01";;"Aantekening PB"
"240";"Voorstel tot aanwijzing van gronden, Wet voorkeursrecht gemeenten";"2010-11-01";;"Aantekening PB"
"241";"Voorstel tot aanwijzing van gronden, Wet voorkeursrecht gemeenten (Zie tekening)";"2010-11-01";;"Aantekening PB"
"242";"Voorstel tot aanwijzing van gronden, Wet voorkeursrecht gemeenten (in onderzoek)";"2010-11-01";;"Aantekening PB"
"243";"Plicht tot het treffen van voorzieningen, Woningwet";"2010-11-01";;"Aantekening PB"
"244";"Plicht tot het treffen van voorzieningen, Woningwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"245";"Plicht tot het treffen van voorzieningen, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"246";"Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet";"2010-11-01";;"Aantekening PB"
"247";"Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"248";"Plicht tot het treffen van voorzieningen ten behoeve van eisen van welstand, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"249";"Plicht tot gebruik of beheer door derden, Woningwet";"2010-11-01";;"Aantekening PB"
"250";"Plicht tot gebruik of beheer door derden, Woningwet (Zie tekening) ";"2010-11-01";;"Aantekening PB"
"251";"Plicht tot gebruik of beheer door derden, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"252";"Aanschrijving, Woningwet";"2010-11-01";;"Aantekening PB"
"253";"Aanschrijving, Woningwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"254";"Aanschrijving, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"255";"Sluiting gebouw, open erf of terrein, Woningwet";"2010-11-01";;"Aantekening PB"
"256";"Sluiting gebouw, open erf of terrein, Woningwet (Zie tekening)";"2010-11-01";;"Aantekening PB"
"257";"Sluiting gebouw, open erf of terrein, Woningwet (in onderzoek)";"2010-11-01";;"Aantekening PB"
"258";"Bestuursdwangbesluit of dwangsombesluit, Woningwet";"2010-11-01";;"Aantekening PB"
