"Code","Waarde","DatumVanaf","DatumTot","SAP Artikel","SAP Artikelnaam","Register"
"607","ruiling","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"608","schenking","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"609","vestiging zakelijk recht van erfpacht","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"610","vestiging zakelijk recht van opstal","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"611","vestiging zakelijk recht van vruchtgebruik","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"613","vestiging zakelijk recht van gebruik en bewoning","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"614","vestiging zakelijk recht overig","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"616","splitsing in appartementsrechten","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"617","ondersplitsing in appartementsrechten","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"618","wijziging splitsing m.b.t. appartementindices","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"619","wijziging ondersplitsing m.b.t. appartementindices","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"620","opheffing splitsing in appartementsrechten","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"621","opheffing ondersplitsing in appartementsrechten","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"622","wijziging splitsing m.b.t. onttrekken grondperceel","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"623","wijziging splitsing m.b.t. toevoegen grondperceel","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"625","vervulling opschortende voorwaarde","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"625","vervulling opschortende voorwaarde","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"626","vervulling ontbindende voorwaarde (overdracht)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"627","stuk vervallen opschortende voorwaarde","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"627","stuk vervallen opschortende voorwaarde","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"628","stuk vervallen ontbindende voorwaarde","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"628","stuk vervallen ontbindende voorwaarde","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"629","afkoop grondrente","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
